ds,y_XGBoost,y_XGBoost_lag15
2023-10-06 05:45:00,20499.016,20148.758
2023-10-06 06:00:00,25138.74,23066.215
2023-10-06 06:15:00,26087.428,24371.863
2023-10-06 06:30:00,27649.932,29389.174
2023-10-06 06:45:00,28200.635,34497.6
2023-10-06 07:00:00,41946.242,40417.113
2023-10-06 07:15:00,43509.45,46382.508
2023-10-06 07:30:00,47095.43,53755.47
2023-10-06 07:45:00,47646.137,61471.227
2023-10-06 08:00:00,55947.633,64537.7
2023-10-06 08:15:00,57510.848,62742.273
2023-10-06 08:30:00,60487.676,63261.887
2023-10-06 08:45:00,61038.383,64586.754
2023-10-06 09:00:00,66743.68,67794.15
2023-10-06 09:15:00,68007.98,68643.07
2023-10-06 09:30:00,69790.266,68643.07
2023-10-06 09:45:00,70341.016,70414.164
2023-10-06 10:00:00,71658.02,72151.97
2023-10-06 10:15:00,72406.11,72348.46
2023-10-06 10:30:00,73469.33,70414.164
2023-10-06 10:45:00,73859.72,70414.164
2023-10-06 11:00:00,73738.125,70434.06
2023-10-06 11:15:00,74486.21,73487.8
2023-10-06 11:30:00,75549.43,74805.54
2023-10-06 11:45:00,75881.484,72702.266
2023-10-06 12:00:00,76859.91,73505.34
2023-10-06 12:15:00,77607.99,73505.34
2023-10-06 12:30:00,78671.21,74823.086
2023-10-06 12:45:00,79003.266,76156.86
2023-10-06 13:00:00,82220.85,76156.86
2023-10-06 13:15:00,82968.94,77702.62
2023-10-06 13:30:00,84032.16,80433.555
2023-10-06 13:45:00,84364.21,82443.47
2023-10-06 14:00:00,86429.805,82443.47
2023-10-06 14:15:00,87177.89,83794.5
2023-10-06 14:30:00,88241.11,86251.375
2023-10-06 14:45:00,88573.164,88964.01
2023-10-06 15:00:00,86460.75,88672.91
2023-10-06 15:15:00,87181.555,86395.51
2023-10-06 15:30:00,88244.77,85528.97
2023-10-06 15:45:00,88576.83,85111.71
2023-10-06 16:00:00,88209.94,85528.97
2023-10-06 16:15:00,88541.59,85528.97
2023-10-06 16:30:00,89423.04,86661.375
2023-10-06 16:45:00,89755.09,84590.836
2023-10-06 17:00:00,89023.24,85599.805
2023-10-06 17:15:00,89217.61,85528.97
2023-10-06 17:30:00,90031.37,86230.57
2023-10-06 17:45:00,90363.42,86230.57
2023-10-06 18:00:00,89181.58,87171.78
2023-10-06 18:15:00,89304.43,86661.375
2023-10-06 18:30:00,90079.33,87310.414
2023-10-06 18:45:00,90411.38,87171.78
2023-10-06 19:00:00,89289.67,86661.375
2023-10-06 19:15:00,89412.52,87417.445
2023-10-06 19:30:00,90103.664,88273.03
2023-10-06 19:45:00,90435.72,89059.586
2023-10-06 20:00:00,89289.67,89059.586
2023-10-06 20:15:00,89412.52,87417.445
2023-10-06 20:30:00,90103.664,87417.445
2023-10-06 20:45:00,90435.72,87417.445
2023-10-06 21:00:00,90264.15,87417.445
2023-10-06 21:15:00,90387.0,87417.445
2023-10-06 21:30:00,91040.97,87417.445
2023-10-06 21:45:00,91239.7,87417.445
2023-10-06 22:00:00,90641.3,87417.445
2023-10-06 22:15:00,90764.15,87417.445
2023-10-06 22:30:00,91253.98,87310.414
2023-10-06 22:45:00,91006.94,86230.57
2023-10-06 23:00:00,85833.38,83589.23
2023-10-06 23:15:00,84470.414,81337.22
2023-10-06 23:30:00,82061.26,78866.74
2023-10-06 23:45:00,80079.305,78842.71
2023-10-07 00:00:00,77935.06,73921.92
2023-10-07 00:15:00,71960.23,67314.625
2023-10-07 00:30:00,67786.98,62112.883
2023-10-07 00:45:00,63506.387,60440.848
2023-10-07 01:00:00,56843.227,56241.977
2023-10-07 01:15:00,54100.258,50053.156
2023-10-07 01:30:00,50738.445,47708.555
2023-10-07 01:45:00,48065.484,42396.56
2023-10-07 02:00:00,40696.89,39674.477
2023-10-07 02:15:00,38892.203,35614.04
2023-10-07 02:30:00,36361.87,33907.18
2023-10-07 02:45:00,34536.164,29821.082
2023-10-07 03:00:00,27971.395,27878.926
2023-10-07 03:15:00,26335.098,25552.379
2023-10-07 03:30:00,25259.996,25166.088
2023-10-07 03:45:00,23876.793,22590.717
2023-10-07 04:00:00,20024.242,21901.652
2023-10-07 04:15:00,19901.824,20675.984
2023-10-07 04:30:00,20063.99,20029.975
2023-10-07 04:45:00,20324.117,19660.307
2023-10-07 05:00:00,17640.293,19314.95
2023-10-07 05:15:00,18172.848,19053.375
2023-10-07 05:30:00,18730.404,18874.61
2023-10-07 05:45:00,19281.105,19053.375
2023-10-07 06:00:00,19777.453,20325.203
2023-10-07 06:15:00,20726.14,20325.203
2023-10-07 06:30:00,22288.643,20742.691
2023-10-07 06:45:00,22839.348,22306.646
2023-10-07 07:00:00,34442.527,25111.736
2023-10-07 07:15:00,36005.742,28252.191
2023-10-07 07:30:00,39591.723,30816.715
2023-10-07 07:45:00,40142.43,34598.465
2023-10-07 08:00:00,45349.3,38097.953
2023-10-07 08:15:00,46912.508,42836.41
2023-10-07 08:30:00,49889.34,48400.293
2023-10-07 08:45:00,50440.047,51086.64
2023-10-07 09:00:00,55450.746,55909.266
2023-10-07 09:15:00,56715.047,56039.914
2023-10-07 09:30:00,58497.355,61693.04
2023-10-07 09:45:00,59048.062,63120.84
2023-10-07 10:00:00,63647.695,65049.605
2023-10-07 10:15:00,64395.816,66792.75
2023-10-07 10:30:00,65459.04,67652.96
2023-10-07 10:45:00,65849.38,68666.67
2023-10-07 11:00:00,68482.69,68686.57
2023-10-07 11:15:00,69230.77,70457.664
2023-10-07 11:30:00,70293.99,72391.96
2023-10-07 11:45:00,70626.05,73511.4
2023-10-07 12:00:00,75074.984,74846.69
2023-10-07 12:15:00,75823.07,76440.15
2023-10-07 12:30:00,76886.29,77726.22
2023-10-07 12:45:00,77218.34,77726.22
2023-10-07 13:00:00,80533.18,79005.05
2023-10-07 13:15:00,81281.266,81112.445
2023-10-07 13:30:00,82344.484,81116.984
2023-10-07 13:45:00,82676.54,81116.984
2023-10-07 14:00:00,85025.67,81116.984
2023-10-07 14:15:00,85773.76,82467.07
2023-10-07 14:30:00,86836.98,84427.695
2023-10-07 14:45:00,87169.03,84427.695
2023-10-07 15:00:00,85900.016,84427.695
2023-10-07 15:15:00,86620.82,85131.51
2023-10-07 15:30:00,87684.04,87235.74
2023-10-07 15:45:00,88016.09,88979.586
2023-10-07 16:00:00,88204.42,89494.945
2023-10-07 16:15:00,88536.08,88979.586
2023-10-07 16:30:00,89417.52,89469.51
2023-10-07 16:45:00,89749.58,91676.66
2023-10-07 17:00:00,89576.67,91676.66
2023-10-07 17:15:00,89856.914,89494.945
2023-10-07 17:30:00,90680.36,89469.51
2023-10-07 17:45:00,91012.414,91558.34
2023-10-07 18:00:00,89982.72,91558.34
2023-10-07 18:15:00,90262.96,89494.945
2023-10-07 18:30:00,91047.55,87235.74
2023-10-07 18:45:00,91379.6,87481.41
2023-10-07 19:00:00,91176.805,88979.586
2023-10-07 19:15:00,91457.05,88736.87
2023-10-07 19:30:00,92157.875,89352.41
2023-10-07 19:45:00,92489.93,91080.01
2023-10-07 20:00:00,91176.805,91676.66
2023-10-07 20:15:00,91457.05,91676.66
2023-10-07 20:30:00,92157.875,90968.08
2023-10-07 20:45:00,92489.93,91080.01
2023-10-07 21:00:00,92379.35,91676.66
2023-10-07 21:15:00,92659.59,91558.34
2023-10-07 21:30:00,93323.25,91558.34
2023-10-07 21:45:00,93521.984,91676.66
2023-10-07 22:00:00,92756.5,91676.66
2023-10-07 22:15:00,93036.74,91080.01
2023-10-07 22:30:00,93536.26,91080.01
2023-10-07 22:45:00,93289.22,91080.01
2023-10-07 23:00:00,88820.02,89212.78
2023-10-07 23:15:00,87614.445,85648.55
2023-10-07 23:30:00,85214.98,84805.375
2023-10-07 23:45:00,83233.02,83567.375
2023-10-08 00:00:00,81497.84,80709.15
2023-10-08 00:15:00,76160.93,76814.58
2023-10-08 00:30:00,71512.64,72510.89
2023-10-08 00:45:00,67921.945,64065.76
2023-10-08 01:00:00,60273.883,61571.543
2023-10-08 01:15:00,57443.684,57597.316
2023-10-08 01:30:00,53606.848,50282.23
2023-10-08 01:45:00,51155.31,47708.555
2023-10-08 02:00:00,44074.86,42836.527
2023-10-08 02:15:00,42150.746,40084.844
2023-10-08 02:30:00,39145.39,36289.688
2023-10-08 02:45:00,37296.383,34436.777
2023-10-08 03:00:00,31367.832,31232.719
2023-10-08 03:15:00,29612.125,29576.043
2023-10-08 03:30:00,28062.004,27205.533
2023-10-08 03:45:00,26655.52,25199.514
2023-10-08 04:00:00,21024.27,24047.557
2023-10-08 04:15:00,21083.73,21917.043
2023-10-08 04:30:00,20934.037,21053.633
2023-10-08 04:45:00,21194.16,20326.332
