ds,yhat,yhat_lower,yhat_upper
2023-09-04 21:45:00,83111.94582016999,74442.26286305331,92388.87697761701
2023-09-04 22:00:00,82349.04600597931,72952.2339314667,91413.8798756046
2023-09-04 22:15:00,81233.10492443596,72549.30666279988,90021.41090001825
2023-09-04 22:30:00,79746.75413110782,70481.53393100548,89020.22601830169
2023-09-04 22:45:00,77882.6867565123,69386.91252693548,86324.57457962843
2023-09-04 23:00:00,75643.8213587298,67278.59562463986,84144.06943688847
2023-09-04 23:15:00,73043.06442494261,64166.55897701235,81886.70956061622
2023-09-04 23:30:00,70102.7122511716,61337.98339281459,78063.86752135515
2023-09-04 23:45:00,66853.54949301391,58931.346521280495,76040.18990911379
2023-09-05 00:00:00,63333.713540962766,54727.54337785298,71824.21569558357
2023-09-05 00:15:00,59587.400418143116,50173.53358754578,68918.64428377597
2023-09-05 00:30:00,55663.48898467056,46365.682889754826,64699.85817129654
2023-09-05 00:45:00,51614.15612973481,41834.386486325486,60622.41685276022
2023-09-05 01:00:00,47493.546952042845,39045.891871515996,56975.758193124326
2023-09-05 01:15:00,43356.55145780332,34590.56120318002,52296.89986227352
2023-09-05 01:30:00,39257.72435907516,30756.24647707684,48365.55506210543
2023-09-05 01:45:00,35250.36830268473,26176.166720059828,43412.232191026174
2023-09-05 02:00:00,31385.784604629065,22607.356477557856,40558.62604244
2023-09-05 02:15:00,27712.680762743825,18604.20830297777,36544.378548728426
2023-09-05 02:30:00,24276.711615628017,15080.89278526408,32661.793361873166
2023-09-05 02:45:00,21120.12202743326,12071.124015915733,29125.26637794739
2023-09-05 03:00:00,18281.454042166763,9785.685198429197,27499.335758005258
2023-09-05 03:15:00,15795.280813121659,7184.336013912758,24465.588384928866
2023-09-05 03:30:00,13691.933170902208,5114.886600341134,22511.369307700337
2023-09-05 03:45:00,11997.19217644714,3456.421494842624,20825.260316530803
2023-09-05 04:00:00,10731.931515494289,1415.7517211340337,19703.82647534514
2023-09-05 04:15:00,9911.706275384226,620.2768984446951,18903.537154925598
2023-09-05 04:30:00,9546.298309068035,496.0707135029857,18629.96609522588
2023-09-05 04:45:00,9639.241777289688,892.8512444279507,18532.979041307244
2023-09-05 05:00:00,10187.364336314,1708.5405775463441,19384.778814780842
2023-09-05 05:15:00,11180.3886851559,2827.5782648530276,20846.613377262853
2023-09-05 05:30:00,12600.644815441388,3940.6091567656495,21069.748782675324
2023-09-05 05:45:00,14422.944682600792,5298.472770717525,23431.6896702437
2023-09-05 06:00:00,16614.667749968896,7653.635709725919,25999.660699706812
2023-09-05 06:15:00,19136.097921407876,10331.817327934885,28304.507301831803
2023-09-05 06:30:00,21941.040253112173,12928.582423811707,30955.02207298498
2023-09-05 06:45:00,24977.730021638126,16479.170846569206,33810.43120037476
2023-09-05 07:00:00,28190.028444426767,18846.960780966314,37060.79958295102
2023-09-05 07:15:00,31518.879712507503,22828.103540438795,40654.26289407191
2023-09-05 07:30:00,34903.98442411439,25810.928321956384,43860.27906014305
2023-09-05 07:45:00,38285.62640994774,29473.111411111608,47649.02987079856
2023-09-05 08:00:00,41606.57484979255,32786.720796938745,50842.09286208634
2023-09-05 08:15:00,44813.972461799814,36069.03484816879,54445.37628608076
2023-09-05 08:30:00,47861.1146746616,39078.33583622848,56893.376857605836
2023-09-05 08:45:00,50709.02455933928,42256.15404537782,59767.171468126704
2023-09-05 09:00:00,53327.73425391872,44081.3318679321,62267.79897069383
2023-09-05 09:15:00,55697.195491787454,46799.6623714345,65008.36222363165
2023-09-05 09:30:00,57807.759269276794,49899.64288459158,67380.88983528879
2023-09-05 09:45:00,59660.186487406296,51242.14622346347,68361.55105184436
2023-09-05 10:00:00,61265.17659090026,52004.88246260811,70431.91700883617
2023-09-05 10:15:00,62642.428148964114,53920.081605921936,71072.22725924986
2023-09-05 10:30:00,63819.27234991828,54798.34798937858,72776.9871287839
2023-09-05 10:45:00,64828.945795494335,56021.37094006103,74154.58022700169
2023-09-05 11:00:00,65708.59117968881,56764.07196701271,74735.39356260473
2023-09-05 11:15:00,66497.09181341987,57262.51988676416,75832.66537493019
2023-09-05 11:30:00,67232.85742517014,58319.23446287717,76390.09951695908
2023-09-05 11:45:00,67951.68329669593,58830.802448497176,76732.85875563085
2023-09-05 12:00:00,68684.80216279133,59878.711156007,77863.0957198078
2023-09-05 12:15:00,69457.23843396068,59993.45209393894,78231.34242952135
2023-09-05 12:30:00,70286.55769787986,61640.64448387108,79249.28440965983
2023-09-05 12:45:00,71182.08198097709,62414.169900246976,80094.95105325337
2023-09-05 13:00:00,72144.61426574954,63267.502177995426,81732.14147281922
2023-09-05 13:15:00,73166.6858373314,64757.12606187449,82009.03712019454
2023-09-05 13:30:00,74233.3089999368,65437.07334868609,83029.30668593752
2023-09-05 13:45:00,75323.18743632454,66098.00488752703,84178.89433505865
2023-09-05 14:00:00,76410.30891588148,67180.39382391608,84687.90663534733
2023-09-05 14:15:00,77465.82184114702,68305.07928248783,85781.30489398622
2023-09-05 14:30:00,78460.07975919006,69881.17631875895,87089.69997509601
2023-09-05 14:45:00,79364.72757659231,71474.4948030085,88673.70800824807
2023-09-05 15:00:00,80154.70043582378,71631.86358323699,89316.07963752984
2023-09-05 15:15:00,80810.01127317891,71768.25085781977,89268.08611104132
2023-09-05 15:30:00,81317.21570408557,72636.3763271162,89787.14957275496
2023-09-05 15:45:00,81670.4622859886,72949.30487715299,90478.59476529807
2023-09-05 16:00:00,81872.0612357194,72777.90121487119,90430.90542424789
2023-09-05 16:15:00,81932.5337840369,72836.72763019713,90396.99905613303
2023-09-05 16:30:00,81870.13574816726,72949.95287616344,90668.57942828196
2023-09-05 16:45:00,81709.88066981855,72890.29621796,90271.36236899107
